"carat","cut","color","clarity","depth","table","price","x","y","z"
1,"Very Good","I","SI2",62.4,63,3276,6.44,6.35,3.99
0.5,"Ideal","H","VS1",61.6,58,1384,5.08,5.11,3.14
1.41,"Ideal","J","VS1",61.6,56,8275,7.19,7.22,4.44
1.24,"Premium","D","VS2",59.3,58,9916,7.09,7.03,4.19
0.4,"Very Good","E","VS2",61.2,60,912,4.79,4.68,2.9
0.6,"Good","G","VS1",60.1,61,1757,5.44,5.5,3.29
0.37,"Ideal","E","VS2",61.6,57,1041,4.65,4.61,2.85
1.25,"Premium","I","VS2",62.2,57,5925,6.92,6.84,4.28
0.7,"Ideal","G","VVS2",61,56,3205,5.74,5.77,3.51
0.51,"Very Good","D","SI1",61.7,58,1403,5.09,5.12,3.15
0.7,"Good","F","SI1",62.8,58,2470,5.6,5.65,3.53
1.64,"Premium","G","VS2",62.4,58,14330,7.52,7.49,4.68
0.51,"Very Good","G","VS2",61.2,55,1397,5.13,5.16,3.15
0.31,"Good","G","VS1",63.3,56,625,4.29,4.33,2.73
1.03,"Fair","D","SI1",64.4,61,4845,6.33,6.25,4.05
0.77,"Premium","G","SI1",62.7,57,2657,5.85,5.79,3.65
0.31,"Very Good","H","SI1",58.7,60,435,4.43,4.47,2.61
1.51,"Ideal","I","VS2",61.6,54,9891,7.38,7.42,4.57
1.66,"Ideal","F","I1",62.1,58,6135,7.6,7.56,4.71
1.03,"Ideal","I","SI2",62.3,59,4162,6.39,6.45,4
0.3,"Ideal","E","VS1",62.1,57,670,4.3,4.33,2.68
0.54,"Ideal","E","VS1",61,56,1939,5.24,5.35,3.23
0.71,"Ideal","F","SI2",62.1,54,2365,5.72,5.74,3.56
0.42,"Ideal","G","VS2",61.7,57,847,4.8,4.83,2.97
0.39,"Ideal","E","VVS2",61.9,55,1034,4.7,4.74,2.92
0.71,"Ideal","E","SI1",62.8,53,2612,5.67,5.7,3.57
0.56,"Ideal","F","VS2",62.1,57,1814,5.29,5.28,3.28
1.01,"Ideal","F","VVS2",61.8,56,8532,6.46,6.49,4
1.01,"Premium","G","VVS2",61.6,60,7466,6.41,6.38,3.94
1.13,"Ideal","D","SI1",61.8,56,5936,6.74,6.68,4.15
0.7,"Very Good","E","SI2",63.5,54,2310,5.69,5.64,3.6
0.38,"Very Good","F","SI1",61.5,54,660,4.69,4.71,2.89
0.7,"Very Good","G","VVS2",61.8,60,2936,5.63,5.69,3.5
1.01,"Fair","F","SI1",57.9,57,5144,6.53,6.57,3.79
1.07,"Very Good","E","VS2",62.5,57,6120,6.53,6.6,4.1
0.31,"Good","D","SI1",63.1,57,571,4.3,4.32,2.72
0.87,"Premium","F","SI2",61.6,58,2999,6.14,6.1,3.77
1.21,"Ideal","G","VVS1",61,57,10295,6.87,6.93,4.21
0.7,"Ideal","H","VS1",61.7,57,3185,5.66,5.7,3.5
0.71,"Very Good","D","VS2",63.1,58,3222,5.67,5.7,3.59
0.32,"Ideal","G","VS1",63,55,828,4.38,4.35,2.75
0.57,"Ideal","H","SI2",62,57,1121,5.3,5.35,3.3
0.91,"Good","G","VVS2",64.1,58,4543,6.06,6.1,3.9
0.31,"Ideal","G","IF",62.6,57,924,4.3,4.32,2.7
0.76,"Premium","F","SI1",60.3,58,2607,5.91,5.96,3.58
0.3,"Very Good","G","VVS1",62.5,56,753,4.25,4.29,2.67
0.32,"Very Good","G","VS2",61.9,56,576,4.36,4.39,2.71
1.51,"Very Good","G","VS1",60.2,63,12317,7.36,7.39,4.44
1.01,"Premium","D","VS1",61.8,54,8201,6.44,6.38,3.96
0.34,"Very Good","H","VS1",63.1,57,765,4.44,4.4,2.79
0.51,"Ideal","F","VS2",61.9,55,1591,5.11,5.15,3.18
2.31,"Fair","G","I1",67.4,56,7257,8.05,7.99,5.41
1.51,"Very Good","I","SI1",59.3,59,8856,7.49,7.59,4.47
1.08,"Very Good","G","SI1",60.6,58,4906,6.58,6.73,4.03
0.51,"Premium","E","SI1",61.8,58,1343,5.11,5.15,3.17
0.3,"Premium","E","SI1",62.4,58,675,4.28,4.24,2.66
0.32,"Ideal","E","SI1",61.8,55,720,4.45,4.42,2.74
1.5,"Good","G","SI2",57.9,61,6006,7.52,7.48,4.35
0.7,"Good","I","VS1",63.2,55,2274,5.58,5.63,3.54
0.51,"Ideal","G","VS2",62.3,54,1660,5.17,5.12,3.21
0.4,"Very Good","H","VVS1",62.9,56,954,4.69,4.72,2.96
0.51,"Very Good","E","SI2",63,56,1067,5.12,5.14,3.23
0.53,"Ideal","G","VVS1",61.8,56,2005,5.18,5.2,3.21
0.79,"Good","G","SI1",63.6,57,2726,5.86,5.84,3.72
0.51,"Ideal","G","VS2",62.7,57,1546,5.12,5.05,3.19
0.3,"Premium","H","SI1",61.2,62,540,4.31,4.28,2.63
1.09,"Very Good","G","VS1",62.5,59,6546,6.56,6.59,4.11
0.71,"Premium","G","VVS2",62.1,57,2832,5.75,5.65,3.54
0.9,"Good","E","SI1",60.4,58,4147,6.12,6.24,3.73
1.2,"Premium","H","SI2",62.4,57,5510,6.83,6.75,4.24
0.82,"Very Good","H","SI1",63.6,56,2908,5.9,5.95,3.77
1.06,"Premium","E","VS2",61.4,60,7123,6.57,6.53,4.02
0.41,"Ideal","J","VS1",62.1,56,647,4.75,4.79,2.96
0.33,"Ideal","E","VS2",62.3,56,723,4.46,4.47,2.78
0.39,"Very Good","G","VVS2",60.7,61,958,4.7,4.73,2.86
1,"Ideal","G","VS2",62.6,57,5967,6.47,6.4,4.03
1.09,"Premium","G","SI2",60.7,57,4047,6.72,6.62,4.06
1.29,"Premium","I","SI1",62,59,6140,7.03,6.98,4.34
0.34,"Premium","E","VS2",61.9,58,745,4.43,4.45,2.75
0.35,"Premium","H","VS1",62.6,58,788,4.52,4.49,2.82
0.48,"Premium","F","VS2",61.3,60,1279,5.01,4.97,3.06
0.4,"Premium","E","SI1",62,61,882,4.71,4.67,2.91
0.83,"Ideal","E","SI1",62.7,57,3231,5.96,6.01,3.75
0.31,"Ideal","G","VVS1",62,55,789,4.34,4.37,2.7
0.31,"Ideal","E","VS2",61.8,54,680,4.36,4.41,2.71
1.22,"Premium","H","SI2",61.6,59,5192,6.82,6.75,4.18
0.9,"Good","F","VS2",64.3,57,4617,6.07,6.09,3.91
0.3,"Ideal","I","VVS1",62.3,55,552,4.28,4.29,2.67
1.21,"Ideal","G","VS1",61.4,56,8985,6.9,6.84,4.22
0.33,"Ideal","F","VS2",62.3,55,854,4.47,4.42,2.77
0.59,"Ideal","J","VS2",60.8,57,1352,5.47,5.42,3.31
1.52,"Premium","E","VS1",59.9,60,16628,7.39,7.47,4.45
0.3,"Premium","F","VS2",61.8,60,673,4.3,4.27,2.65
1,"Premium","F","SI1",60.3,58,5197,6.43,6.47,3.89
0.31,"Premium","D","SI1",61.1,57,732,4.36,4.35,2.66
0.3,"Very Good","G","VVS2",60.4,59,598,4.33,4.35,2.62
1,"Good","D","VS1",57.8,61,7500,6.62,6.56,3.81
0.4,"Good","F","VS2",62.2,61,784,4.71,4.74,2.94
0.7,"Premium","E","VS2",62.5,59,2737,5.65,5.62,3.52
0.5,"Good","D","SI1",64.1,56,1190,5.03,4.98,3.21
0.66,"Very Good","H","VVS1",61.9,59,2323,5.59,5.65,3.48
0.3,"Very Good","G","VS1",62.4,58,605,4.22,4.24,2.64
0.58,"Ideal","E","VS2",61.9,56,1670,5.34,5.38,3.32
0.97,"Very Good","G","VVS1",61.9,54,7415,6.33,6.36,3.93
0.6,"Premium","E","SI2",62,59,1426,5.41,5.37,3.34
0.6,"Ideal","G","VS1",61.3,60,2091,5.39,5.41,3.31
0.41,"Ideal","F","VVS1",61.8,55,1295,4.76,4.78,2.95
1.45,"Premium","F","VS2",61.1,58,11650,7.31,7.23,4.44
0.31,"Ideal","G","VVS1",62,53,789,4.35,4.39,2.71
0.41,"Premium","G","VVS2",61.6,58,1076,4.8,4.74,2.94
1.01,"Good","G","SI2",64.5,61,3895,6.24,6.31,4.05
0.9,"Good","I","VVS1",63.6,58,4187,6.1,6.14,3.89
0.7,"Premium","F","VS2",59.5,58,2838,5.85,5.75,3.45
1.23,"Ideal","G","VS2",62.4,57,8233,6.88,6.83,4.28
0.7,"Very Good","J","SI1",63,56,1735,5.61,5.66,3.55
1.5,"Good","E","SI2",63,59,8910,7.18,7.24,4.54
0.34,"Very Good","I","SI1",59.2,61,447,4.57,4.58,2.71
1.1,"Very Good","I","SI2",60.5,59,4202,6.65,6.71,4.04
1,"Premium","G","VS2",61.6,54,6216,6.49,6.46,3.99
0.37,"Ideal","H","VS2",61.7,55,603,4.64,4.67,2.87
0.34,"Premium","E","VS2",62.6,58,956,4.45,4.43,2.78
0.44,"Premium","G","VVS1",60.9,59,1235,4.9,4.96,3
0.38,"Very Good","F","SI2",61,61,600,4.61,4.67,2.83
1.01,"Very Good","E","SI1",62.9,60,5499,6.35,6.43,4.02
0.52,"Good","G","IF",59.8,57,2093,5.24,5.27,3.14
0.73,"Ideal","D","VS1",60.9,55,3937,5.83,5.86,3.56
0.33,"Premium","H","VS2",62.4,58,521,4.39,4.42,2.75
1.76,"Ideal","I","VS1",62,57,11616,7.71,7.74,4.79
0.46,"Ideal","E","SI2",61.3,56,870,4.96,5.02,3.06
0.76,"Good","J","VS1",62.6,61.9,2015,5.7,5.75,3.58
0.5,"Very Good","G","VVS2",62.2,61,1715,5.07,5.09,3.16
0.72,"Very Good","J","VVS2",63,59,2144,5.7,5.72,3.6
1.02,"Very Good","D","SI1",62.7,60,5709,6.34,6.39,3.99
0.3,"Ideal","H","VVS2",61.5,55,590,4.34,4.37,2.68
0.45,"Ideal","F","VVS1",61.8,55,1833,4.92,4.95,3.05
0.7,"Ideal","D","VS2",61.3,57,2960,5.72,5.76,3.52
0.9,"Very Good","H","SI1",62.3,63,3447,6.06,6.13,3.8
1.13,"Ideal","G","SI2",61.1,54,5062,6.77,6.74,4.13
0.3,"Good","G","SI2",63.7,54,394,4.23,4.25,2.7
1.18,"Ideal","H","SI2",61.2,57,5182,6.81,6.86,4.18
1,"Very Good","E","SI2",60.5,59,4435,6.44,6.48,3.91
0.4,"Premium","F","VS2",61.6,58,1080,4.8,4.75,2.94
0.52,"Very Good","F","SI1",62.6,58,1267,5.11,5.14,3.21
1.01,"Good","H","I1",64.2,61,2846,6.25,6.18,3.99
1.21,"Ideal","J","VS2",62.5,57,5707,6.79,6.74,4.23
0.73,"Premium","D","SI1",60.8,55,2865,5.87,5.81,3.55
0.41,"Very Good","F","VS2",62.6,58,863,4.75,4.81,2.99
0.44,"Good","F","SI1",56.9,61,1018,5.12,5.07,2.9
0.7,"Ideal","F","SI1",62,55,2415,5.72,5.7,3.54
0.53,"Very Good","G","VS2",60.1,59,1449,5.22,5.26,3.15
0.31,"Ideal","H","SI1",61.1,57,464,4.38,4.42,2.69
0.6,"Ideal","F","VVS2",63,55,2143,5.39,5.37,3.39
1.28,"Good","H","SI2",63.8,55,4516,6.84,6.79,4.35
1.51,"Very Good","E","VS2",62.4,58,13623,7.26,7.33,4.55
1.13,"Premium","G","SI2",60,61,4518,6.78,6.71,4.05
0.52,"Premium","E","SI1",61.8,60,1624,5.18,5.15,3.19
1.08,"Premium","G","SI2",59.8,57,4318,6.72,6.66,4
1.1,"Premium","G","VS2",61.2,62,6653,6.64,6.6,4.05
0.54,"Very Good","G","VS1",61.6,56,1754,5.23,5.26,3.23
1.01,"Very Good","I","VS2",62.3,60,4666,6.33,6.41,3.97
0.98,"Good","F","SI1",56.8,64,4226,6.68,6.52,3.75
1.1,"Premium","G","VS2",60.5,60,6284,6.67,6.58,4.01
0.41,"Very Good","D","VS2",59.2,58,995,4.83,4.87,2.87
0.3,"Ideal","H","SI1",62.9,53,407,4.28,4.31,2.7
1.54,"Very Good","H","SI1",62.2,58,10279,7.32,7.45,4.59
1.06,"Ideal","I","VS1",61.1,56,5702,6.59,6.61,4.03
1.76,"Premium","E","SI1",60.5,58,15805,7.93,7.84,4.77
0.32,"Ideal","H","VS1",63,57,720,4.35,4.32,2.73
0.7,"Ideal","J","SI1",61,56,2096,5.69,5.82,3.51
0.33,"Very Good","H","VVS1",62.5,55,692,4.43,4.47,2.78
0.62,"Very Good","D","SI1",61.3,58,1949,5.47,5.49,3.36
2.34,"Premium","I","SI1",61.7,60,15818,8.59,8.53,5.28
0.4,"Ideal","J","IF",62.5,56,758,4.7,4.74,2.95
0.4,"Premium","F","VS1",60.3,60,982,4.77,4.81,2.89
1.2,"Ideal","J","VS2",61.6,54,4099,6.88,6.82,4.22
1.09,"Ideal","E","SI1",61.1,55,6043,6.7,6.66,4.08
1.35,"Ideal","H","SI1",62.8,57,7619,6.98,7.09,4.42
0.42,"Very Good","F","SI1",63.4,56,926,4.8,4.76,3.03
0.31,"Very Good","I","VS1",63.5,57,628,4.28,4.26,2.71
0.54,"Ideal","D","SI1",62.4,57,1786,5.23,5.19,3.25
1.58,"Ideal","E","VS2",62.7,56,15721,7.55,7.45,4.7
0.3,"Premium","H","VS1",60.1,61,675,4.32,4.3,2.59
1.61,"Premium","J","IF",62.1,58,10350,7.53,7.47,4.66
0.32,"Ideal","G","VVS2",61.8,55,936,4.43,4.41,2.73
0.44,"Ideal","G","SI1",60.9,56,1188,4.88,4.94,2.99
1.14,"Premium","I","SI1",59.1,58,4788,6.83,6.81,4.03
1.53,"Very Good","F","SI1",62,56,11267,7.39,7.47,4.61
0.48,"Premium","F","SI1",59.6,59,1020,5.13,5.11,3.05
0.33,"Premium","G","VVS2",61.5,62,901,4.43,4.39,2.71
0.33,"Ideal","E","VS2",62,56,928,4.48,4.46,2.77
1.24,"Ideal","H","SI2",59.5,61,5937,6.98,7.03,4.17
0.63,"Ideal","G","IF",61.9,56,3363,5.5,5.52,3.41
0.71,"Very Good","D","VS2",59.7,55,3203,5.85,5.88,3.5
0.5,"Premium","F","VS1",58,59,1715,5.3,5.22,3.05
0.7,"Ideal","G","VS1",61.2,56,3206,5.71,5.75,3.5
0.58,"Fair","G","VS2",65,56,1430,5.23,5.17,3.38
1.03,"Very Good","J","VS1",63.4,58,4292,6.36,6.42,4.05
0.3,"Very Good","I","SI1",63.4,57,506,4.25,4.23,2.69
1,"Very Good","G","VS2",60.8,55,6296,6.46,6.49,3.94
0.33,"Premium","G","VS2",61.3,61,693,4.47,4.43,2.73
0.41,"Premium","E","VS1",60,58,1079,4.8,4.83,2.89
1.53,"Ideal","I","SI2",62.4,54,7859,7.34,7.41,4.6
0.24,"Ideal","F","VVS1",61.8,59,526,4,4.03,2.48
0.41,"Very Good","G","VVS2",61.1,55,932,4.8,4.82,2.94
0.9,"Good","G","VVS2",62.6,58,4668,6.1,6.13,3.83
0.5,"Premium","G","VS1",60,59,1559,5.12,5.18,3.09
1.51,"Very Good","J","SI1",58.8,59,7544,7.47,7.56,4.42
0.52,"Ideal","F","VVS2",60.8,55,2359,5.21,5.25,3.19
1.15,"Ideal","I","SI1",62.3,57,4925,6.74,6.67,4.18
0.55,"Premium","E","SI2",59.7,58,1364,5.35,5.33,3.19
0.57,"Ideal","D","VS2",61.7,56,2099,5.3,5.37,3.29
0.75,"Ideal","D","SI2",61.3,56,2773,5.85,5.89,3.6
0.52,"Premium","F","SI1",61.1,59,1370,5.21,5.17,3.17
2.01,"Good","H","VS2",64.1,59,18474,7.91,7.85,5.05
0.43,"Ideal","H","VVS1",62.3,54,1169,4.85,4.84,3.02
0.7,"Good","I","SI1",58.2,61,2028,5.8,5.84,3.39
0.43,"Ideal","I","VS2",62.1,57,780,4.83,4.86,3.01
1.04,"Premium","I","SI2",62,57,3774,6.53,6.47,4.03
0.3,"Premium","D","VS2",60.5,58,710,4.35,4.38,2.64
1,"Fair","D","SI2",65.2,56,3634,6.27,6.21,4.07
0.31,"Ideal","G","IF",61.3,56,891,4.38,4.4,2.69
0.3,"Ideal","H","VVS1",61.2,57,655,4.3,4.39,2.66
1.02,"Very Good","G","VVS2",61.3,59,7292,6.46,6.53,3.98
0.37,"Ideal","G","SI1",62,55,586,4.62,4.64,2.87
